datenum,year,month,day,datetime,data_mean_global,data_mean_nh,data_mean_sh
4733,12,12,15,15-Dec-0012 00:00:00,277.4296251,277.745807,277.1134432
4764,13,1,15,15-Jan-0013 00:00:00,277.8872097,278.5664297,277.2079898
4795,13,2,15,15-Feb-0013 00:00:00,278.2670924,279.2194326,277.3147522
4823,13,3,15,15-Mar-0013 00:00:00,278.6056508,279.8585944,277.3527071
4854,13,4,15,15-Apr-0013 00:00:00,278.8427532,280.3897469,277.2957596
4884,13,5,15,15-May-0013 00:00:00,278.7835007,280.2905505,277.2764508
4915,13,6,15,15-Jun-0013 00:00:00,278.0482142,278.7736167,277.3228116
4945,13,7,15,15-Jul-0013 00:00:00,276.4058863,275.489794,277.3219787
4976,13,8,15,15-Aug-0013 00:00:00,274.8006464,272.4265942,277.1746986
5007,13,9,15,15-Sep-0013 00:00:00,274.7581438,272.5217065,276.994581
5037,13,10,15,15-Oct-0013 00:00:00,275.7920823,274.6279621,276.9562025
5068,13,11,15,15-Nov-0013 00:00:00,276.7934625,276.5040327,277.0828922
5098,13,12,15,15-Dec-0013 00:00:00,277.4273577,277.7435396,277.1111759
5129,14,1,15,15-Jan-0014 00:00:00,277.8843152,278.5635352,277.2050953
5160,14,2,15,15-Feb-0014 00:00:00,278.2638482,279.2161884,277.311508
5188,14,3,15,15-Mar-0014 00:00:00,278.6023886,279.8553322,277.3494449
5219,14,4,15,15-Apr-0014 00:00:00,278.8398049,280.3867986,277.2928113
5249,14,5,15,15-May-0014 00:00:00,278.781153,280.2882029,277.2741032
5280,14,6,15,15-Jun-0014 00:00:00,278.0467074,278.77211,277.3213049
5310,14,7,15,15-Jul-0014 00:00:00,276.4054142,275.4893218,277.3215066
5341,14,8,15,15-Aug-0014 00:00:00,274.8013559,272.4273037,277.1754081
5372,14,9,15,15-Sep-0014 00:00:00,274.7601354,272.5236982,276.9965727
5402,14,10,15,15-Oct-0014 00:00:00,275.7954101,274.6312899,276.9595303
5433,14,11,15,15-Nov-0014 00:00:00,276.7981337,276.508704,277.0875635
5463,14,12,15,15-Dec-0014 00:00:00,277.4333334,277.7495152,277.1171515
5494,15,1,15,15-Jan-0015 00:00:00,277.8915094,278.5707294,277.2122895
5525,15,2,15,15-Feb-0015 00:00:00,278.2721287,279.2244689,277.3197885
5553,15,3,15,15-Mar-0015 00:00:00,278.6115777,279.8645213,277.358634
5584,15,4,15,15-Apr-0015 00:00:00,278.8497076,280.3967012,277.3027139
5614,15,5,15,15-May-0015 00:00:00,278.7915852,280.2986351,277.2845354
5645,15,6,15,15-Jun-0015 00:00:00,278.0574976,278.7829002,277.332095
5675,15,7,15,15-Jul-0015 00:00:00,276.4164031,275.5003107,277.3324955
5706,15,8,15,15-Aug-0015 00:00:00,274.8123968,272.4383446,277.1864489
5737,15,9,15,15-Sep-0015 00:00:00,274.7710939,272.5346566,277.0075311
5767,15,10,15,15-Oct-0015 00:00:00,275.8061641,274.642044,276.9702843
5798,15,11,15,15-Nov-0015 00:00:00,276.8085738,276.519144,277.0980035
5828,15,12,15,15-Dec-0015 00:00:00,277.4433622,277.7595441,277.1271803
5859,16,1,15,15-Jan-0016 00:00:00,277.9010422,278.5802622,277.2218223
5890,16,2,15,15-Feb-0016 00:00:00,278.2810931,279.2334333,277.3287528
5919,16,3,15,15-Mar-0016 00:00:00,278.6199135,279.8728572,277.3669699
5950,16,4,15,15-Apr-0016 00:00:00,278.8573686,280.4043623,277.310375
5980,16,5,15,15-May-0016 00:00:00,278.7985432,280.3055931,277.2914934
6011,16,6,15,15-Jun-0016 00:00:00,278.0637428,278.7891454,277.3383402
6041,16,7,15,15-Jul-0016 00:00:00,276.4219444,275.505852,277.3380368
6072,16,8,15,15-Aug-0016 00:00:00,274.8172617,272.4432095,277.1913139
6103,16,9,15,15-Sep-0016 00:00:00,274.7753285,272.5388913,277.0117658
6133,16,10,15,15-Oct-0016 00:00:00,275.8098331,274.645713,276.9739533
6164,16,11,15,15-Nov-0016 00:00:00,276.8117604,276.5223306,277.1011901
6194,16,12,15,15-Dec-0016 00:00:00,277.4461683,277.7623502,277.1299864
6225,17,1,15,15-Jan-0017 00:00:00,277.9035883,278.5828082,277.2243684
6256,17,2,15,15-Feb-0017 00:00:00,278.2835181,279.2358584,277.3311779
6284,17,3,15,15-Mar-0017 00:00:00,278.6223751,279.8753188,277.3694315
6315,17,4,15,15-Apr-0017 00:00:00,278.860027,280.4070207,277.3130334
6345,17,5,15,15-May-0017 00:00:00,278.8015316,280.3085814,277.2944818
6376,17,6,15,15-Jun-0017 00:00:00,278.0671637,278.7925663,277.3417612
6406,17,7,15,15-Jul-0017 00:00:00,276.4258699,275.5097775,277.3419623
6437,17,8,15,15-Aug-0017 00:00:00,274.8217331,272.4476809,277.1957853
6468,17,9,15,15-Sep-0017 00:00:00,274.7803567,272.5439195,277.016794
6498,17,10,15,15-Oct-0017 00:00:00,275.8153983,274.6512781,276.9795185
6529,17,11,15,15-Nov-0017 00:00:00,276.8178122,276.5283825,277.107242
6559,17,12,15,15-Dec-0017 00:00:00,277.4526258,277.7688077,277.1364439
6590,18,1,15,15-Jan-0018 00:00:00,277.91034,278.5895599,277.2311201
6621,18,2,15,15-Feb-0018 00:00:00,278.2904219,279.2427621,277.3380816
6649,18,3,15,15-Mar-0018 00:00:00,278.6292582,279.8822019,277.3763146
6680,18,4,15,15-Apr-0018 00:00:00,278.8667023,280.413696,277.3197087
6710,18,5,15,15-May-0018 00:00:00,278.8078364,280.3148862,277.3007866
6741,18,6,15,15-Jun-0018 00:00:00,278.0729658,278.7983684,277.3475632
6771,18,7,15,15-Jul-0018 00:00:00,276.4310673,275.5149749,277.3471597
6802,18,8,15,15-Aug-0018 00:00:00,274.8262544,272.4522023,277.2003066
6833,18,9,15,15-Sep-0018 00:00:00,274.784161,272.5477237,277.0205982
6863,18,10,15,15-Oct-0018 00:00:00,275.8184749,274.6543547,276.9825951
6894,18,11,15,15-Nov-0018 00:00:00,276.8201809,276.5307512,277.1096107
6924,18,12,15,15-Dec-0018 00:00:00,277.4543369,277.7705188,277.138155
6955,19,1,15,15-Jan-0019 00:00:00,277.9114741,278.590694,277.2322541
6986,19,2,15,15-Feb-0019 00:00:00,278.2910901,279.2434303,277.3387499
7014,19,3,15,15-Mar-0019 00:00:00,278.6296021,279.8825457,277.3766584
7045,19,4,15,15-Apr-0019 00:00:00,278.8668835,280.4138771,277.3198898
7075,19,5,15,15-May-0019 00:00:00,278.8080044,280.3150542,277.3009546
7106,19,6,15,15-Jun-0019 00:00:00,278.0732518,278.7986544,277.3478492
7136,19,7,15,15-Jul-0019 00:00:00,276.4315841,275.5154917,277.3476765
7167,19,8,15,15-Aug-0019 00:00:00,274.8270964,272.4530442,277.2011486
7198,19,9,15,15-Sep-0019 00:00:00,274.7854039,272.5489666,277.0218411
7228,19,10,15,15-Oct-0019 00:00:00,275.8201762,274.656056,276.9842964
7259,19,11,15,15-Nov-0019 00:00:00,276.8223797,276.53295,277.1118095
7289,19,12,15,15-Dec-0019 00:00:00,277.4570537,277.7732356,277.1408718
7320,20,1,15,15-Jan-0020 00:00:00,277.9147112,278.5939311,277.2354912
7351,20,2,15,15-Feb-0020 00:00:00,278.2948311,279.2471713,277.3424909
7380,20,3,15,15-Mar-0020 00:00:00,278.6338123,279.886756,277.3808687
7411,20,4,15,15-Apr-0020 00:00:00,278.8715124,280.4185061,277.3245188
7441,20,5,15,15-May-0020 00:00:00,278.8129947,280.3200446,277.3059449
7472,20,6,15,15-Jun-0020 00:00:00,278.0785412,278.8039438,277.3531386
7502,20,7,15,15-Jul-0020 00:00:00,276.4371053,275.5210129,277.3531977
7533,20,8,15,15-Aug-0020 00:00:00,274.8327771,272.4587249,277.2068293
7564,20,9,15,15-Sep-0020 00:00:00,274.791167,272.5547298,277.0276043
7594,20,10,15,15-Oct-0020 00:00:00,275.8259397,274.6618195,276.9900599
7625,20,11,15,15-Nov-0020 00:00:00,276.8280563,276.5386266,277.1174861
7655,20,12,15,15-Dec-0020 00:00:00,277.4625515,277.7787334,277.1463696
7686,21,1,15,15-Jan-0021 00:00:00,277.9199331,278.599153,277.2407131
7717,21,2,15,15-Feb-0021 00:00:00,278.2996752,279.2520154,277.347335
7745,21,3,15,15-Mar-0021 00:00:00,278.6381717,279.8911154,277.3852281
7776,21,4,15,15-Apr-0021 00:00:00,278.875279,280.4222727,277.3282853
7806,21,5,15,15-May-0021 00:00:00,278.8160841,280.3231339,277.3090343
7837,21,6,15,15-Jun-0021 00:00:00,278.080903,278.8063056,277.3555004
7867,21,7,15,15-Jul-0021 00:00:00,276.4387232,275.5226308,277.3548156
7898,21,8,15,15-Aug-0021 00:00:00,274.8336688,272.4596166,277.207721
7929,21,9,15,15-Sep-0021 00:00:00,274.7913841,272.5549468,277.0278213
7959,21,10,15,15-Oct-0021 00:00:00,275.8255678,274.6614476,276.989688
7990,21,11,15,15-Nov-0021 00:00:00,276.8272152,276.5377855,277.116645
8020,21,12,15,15-Dec-0021 00:00:00,277.4613948,277.7775767,277.145213
8051,22,1,15,15-Jan-0022 00:00:00,277.9186486,278.5978685,277.2394286
8082,22,2,15,15-Feb-0022 00:00:00,278.2984846,279.2508248,277.3461444
8110,22,3,15,15-Mar-0022 00:00:00,278.6373308,279.8902744,277.3843871
